raw_review,sentiment_label,vader_compound
"fuck this dog shit game. Don't make the blunder of buying this dog shit game.
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
fuck you EA
fuck you stupid fuckers
you dumbass monkeys",Negative,-0.999
"My name is Walter Hartwell White. I live at 308 Negra Arroyo Lane, Albuquerque, New Mexico, 87104. This is my confession. If you're watching this tape, I'm probably dead, murdered by my brother-in-law Hank Schrader. Hank has been building a meth empire for over a year now and using me as his chemist. Shortly after my 50th birthday, Hank came to me with a rather, shocking proposition. He asked that I use my chemistry knowledge to cook methamphetamine, which he would then sell using his connections in the drug world. Connections that he made through his career with the DEA. I was... astounded, I... I always thought that Hank was a very moral man and I was... thrown, confused, but I was also particularly vulnerable at the time, something he knew and took advantage of. I was reeling from a cancer diagnosis that was poised to bankrupt my family. Hank took me on a ride along, and showed me just how much money even a small meth operation could make. And I was weak. I didn't want my family to go into financial ruin so I agreed. Every day, I think back at that moment with regret. I quickly realized that I was in way over my head, and Hank had a partner, a man named Gustavo Fring, a businessman. Hank essentially sold me into servitude to this man, and when I tried to quit, Fring threatened my family. I didn't know where to turn.
Eventually, Hank and Fring had a falling out. From what I can gather, Hank was always pushing for a greater share of the business, to which Fring flatly refused to give him, and things escalated. Fring was able to arrange, uh I guess I guess you call it a ""hit"" on my brother-in-law, and failed, but Hank was seriously injured, and I wound up paying his medical bills which amounted to a little over $177,000. Upon recovery, Hank was bent on revenge, working with a man named Hector Salamanca, he plotted to kill Fring, and did so. In fact, the bomb that he used was built by me, and he gave me no option in it. I have often contemplated suicide, but I'm a coward. I wanted to go to the police, but I was frightened. Hank had risen in the ranks to become the head of the Albuquerque DEA, and about that time, to keep me in line, he took my children from me. For 3 months he kept them. My wife, who up until that point, had no idea of my criminal activities, was horrified to learn what I had done, why Hank had taken our children. We were scared. I was in Hell, I hated myself for what I had brought upon my family. Recently, I tried once again to quit, to end this nightmare, and in response, he gave me this. I can't take this anymore. I live in fear every day that Hank will kill me, or worse, hurt my family. I... All I could think to do was to make this video in hope that the world will finally see this man, for what he really is.",Positive,-0.9988
"This game gave me

Cancer - Breast
Cancer - Cervical
Cancer - Colon
Cancer - Endometrial
Cancer - Kidney
Cancer - Liver
Cancer - Multiple Myeloma
Cancer - Ovarian
Cancer - Pancreatic
Cancer - Stomach
Cancer - Thyroid
Cancer - Bladder
Cancer - Cervical 
Cancer - Colorectal
Cancer - Endometrial 
Cancer - Leukemia
Cancer - Lung
Cancer - Oral
Chlamydia
Chronic Fatigue Syndrome
Clostridium Difficile
Creutzfeldt-Jakob Disease
Cyclospora
Depression
Conjunctivitis
Crabs
Cryptosporidiosis
Diabetes
Ebola Virus
Giardiasis
Hepatitis",Negative,-0.9982
"The worst, worst, worst, worst, worst, worst, worst, worst, worst, worst, worst, worst, worst, worst, worst, worst, worst, worst, worst, worst fifa game of the whole series. 
This has to be a joke.",Negative,-0.998
"jakakokalareta marshalli asistencia marshalli meska paramueta para messi messi messi messi messi messi messi messi i menci messi ankara messi ankara messi ANKARA MESSI ANKARA MESSI ANKARA MESSI ANKARA MESSI UENA MESSI ANKARA MESSI ANKARA MESSI ANKARA MESSI ANKARA MESSI

A N K A R A M E S S I

GOLGOL GOLGOL GOL !!! GOLGOL GOLGOL GOLGOL GOLGOL GOLGOL GOLGOL GOLGOL G O L !!!!! GOLGOL GOLGOL GOLGOL GOLGOL GOLGOL GOLGOL GOLGOL GOLGOL GOLGOL GOLGOL GOLGOL GOLGOL GOLGOL GOLGOL G O L ! ! !

INKA IPLA INKA IPLA !!! UOBOBUNGIMACCIMA BROBOUBUIAIMAŹIMA BROUEIŻMAIŻŚOOOOO BROUEIŹMAI INKA IPLA WENEZUAUA INKA IPLA UENEZUAUA MESSI MESSI MESSI PORA MESSI MESSI MESS PORA MESS PORA GOL MESS PORA GOL GOL GOL GOL GOL GOL MESS PORA GOL MESS GOL MESS GOL MESS DOR POL MEZ POL MEZ IANKARA MESSI MESSI MESS I MESS I MESS I MESS I MESS I MESS I MESS I MESS I MESS I MESS I MESS I TOTTI TOTTI TOTTI TOTTI TOTTI MESSI TOTTI MESSI TOT ITOTTI TOTTI TOTTI MESS

TOTTI MESS !",Positive,-0.9964
"Fucking piece of shit, motherfucking EA again, fucking useless cunt game twat prick shit, never do another FIFA, you fucking fucks morons gay nigger trash, fuck you, fuckers fuck fuck fuck. LGBT is a scam, holocaust was a prank. Heil EA Sports, you disgusting fucks.",Negative,-0.9964
"I've been an avid fan of fifa games ever since I was a kid. I've been playing ever since fifa 14. To this day, I still think that 14 was the best I've ever played. Somehow it seems like fifa games have been getting worse over the years. Normally, as a company, you aim to make a sequel of a game to be better than the last one. But for EA, it's most definitely the opposite. For some reason, it seems like the developers at EA have gotten more retarded over the years. How is it possible to make a game this demoralising. Ranging from the poor ranking system, to the immense amounts of lag and glitches, even to (I can't believe I'm saying this) ""scripting"". HOW TF IS IT EVEN POSSIBLE TO ADD SCRIPTING TO A SPORTS GAME?!?! To then call it ""momentum""?!?! No, it's pure bullshit. Doesn't mean that the difficulty is on Legendary that a Bronze player gets an insane stat boost and is immediately better than a TOTY. Don't tell me a 63 OVR defender with 60 pace, outruns my 93 bale with 92 pace, just because of ""momentum"". That's how you make your game better???? To be honest, that's how you lose your player base. Because of little brain rotting little things like that. Also, don't even get me started on the packing system. How am I gonna open multiple packs and get absolute dogshit. But then, my friend that sucks and never touched a fifa game in his whole existence, packs a TOTY on his first pack. I wanna also add that the online mode is fucking garbage. I would rather inhale insane amounts of nuclear radiation and eat toxic waste for the rest of my life than play in an online match with input lag and ACTUAL LAG. To be clear, on every other game, I average 11 ping but for some extraordinary reason, EA decides to slap me with on average 84 ping every fucking match. This whole game is unplayable, unreasonable, unmanageable and especially TRASH. Yet, I come back to it after every time I said I would never touch a game this bad, because of nostalgia and because I wanna relive my childhood of me playing fifa games. If the next game is this bad, I will never touch another EA game, because it will give me a hint that the game will already be completely atrocious. To conclude, I wouldn't recommend this to no-one, even my dead grandfather. SO, EA FIX UR SHIT OR YOU'RE GONNA LOSE A LOT OF PLAYERS. YOU'RE GONNA BE STUCK WITH DUMBASS NPC PLAYERS THAT NEVER TOUCHED FIFA IN THEIR LIFE AND WILL REVIEW THE GAME ON THE GRAPHICS SOLELY AND THEN YOUR RETARDED ASS DEVELOPERS WILL LOOK AT THOSE REVIEWS AND THINK THEY DID A GOOD JOB ON THE GAME. Please fix your shit and, this is coming from an og, look at the reviews that give actually give a constuctive critism on how to make your game better for your player base.",Negative,-0.9961
"I thought when buying this game I'd disreguard any of the negative reviews as we all know what its like with FIFA every year we still buy it expecting something to have changed but it always leaves us with one guarantee we're going to be infuriated by it.

But... I mean this from the bottom of my heart, this has left me with nothing but the feeling of neglect from the game devs.

They know of the active issues and we're what 2 months into release with no fix.

THE GAME WONT WORK I've tried every fix and its the same bullshit, Error error error, nothing to do with my PC requirements it's all down on their end and there stupid ANTICHEAT.

If you have 60 GBP or whatever it costs in your currency to just freely throw into a dumpster and burn then go ahead buy it.

Just honestly dont bother I'm saving you the heartbreak and pain you will feel from this shit.

Fuck EA, Fuck you and your shitty customer service you're all a bunch of fucking cunts.",Negative,-0.9961
"I sincerely hope every person who developped this game starts shitting themselves uncontrollably until the end of their days, because it is impossible to be a good person and develop such a game. It is evil, it gets worse and worse with every update, the players are all acting as if brain damaged, the servers are on life support, and the devs are on crack cocaine. They always say everything is fine and good, but truth is it isn't, it is even worse than last year. I don't know what the fuck is going on at EA but i sincerely hope the diarrhea purge helps cleanse this shit we call a gaming company. They make 1 billion dollars net per year with ultimate team, I guess drugs and whores are really expensive because how the fuck could they not make a proper game with such money, when all they do is copy and paste the same shit over and over again. I really really REALLY hope, they ALL shit themselves at least a hundred times every day until they die because it is exactly how us FIFA players feel like every time we boot this piece of shit. We feel like we've been shat on, that someone shat on our brains and proceeded to shag them. Please, EA devs get a life or tell us if you need help in being liberated from those evil crackheads that are your CEOs and project leaders. (Oh and EA's customer service is filled with the most hypocritical people you'll ever meet, I understand it is their job, but the Gawk Gawk 3000 they to do EA's money rod is insane, whilst they probably get minimal wage for being really shit people.) Fuck you EA, I hope you get cucked by demons and they ass fuck you to hell right after that.",Negative,-0.996
"For the love of God, don't buy this if you haven't already. I've sunk 100s of hours into every FIFA since 17, but this year's game is so bad I won't even break 50, in fact I've outright deleted it off my pc. There's always something wrong or bad about a new FIFA game that comes out, but at some point you can get used to it and the game is still somewhat playable, not this time. 23 is just so outright horrid to play, game play is not consistent whatsoever and I can't remember having fun anywhere in the 36 hours I've played.

Passing is one of the worst parts of this installment, half of passes that you would think are easily make-able are somehow intercepted and through balls are almost useless, as they'll never go where you aim them or the defender will gain a random boost of pace to somehow catch up to your quick winger/striker. Opposition goalkeepers will save almost anything, even to the point where it looks like they're disobeying the laws of physics (quite literally they'll levitate off the ground without making any jumping motion to reach your shot), all while your goalkeeper will dive the opposite direction of a shot or not fully extend his arms out to make an easy save.

I could go on, and on, and on, and on, about how shameful this game is, it's easily the worst in the last 6 years, and that is saying something considering the quality of some of the past installments recently. It's just so bad, it should be considered a crime that I had to pay $76 including the tax, I should be able to sue for that. For the amount of money EA makes off the FIFA games, it's unacceptable they can put out garbage like this and slap a $70 price tag on it. Truth is no amount of money is worth this game, please do something else with that money, don't make my mistake where I wasn't even sure if I wanted it this year but caved in anyways. No chance I get a refund either since I've played over two hours, but this might be the worst money ever spent.

I haven't even gone into the bugs and horrible launch of the game, I literally had to mess with settings of my computer's MOTHERBOARD to even be able to launch the game, because apparently some setting in there was switched on that wouldn't allow the game to start, and those types of things are delicate stuff that can mess with your computer if you do something wrong. I also had to go into game files and add a code so the anti cheat wouldn't perform a first time setup every time I opened the game, as in the anti cheat would try to install itself every time I would try to play the game despite it already being downloaded.

Also there is 100% scripting/momentum in FIFA, no matter what EA says. I actually believe it's the most blatant in this installment and a huge problem, besides the passing it's probably what frustrated me most, you can easily find proof of this on videos and online.

This is literally a warning, do not buy this game, do not buy any of their games, please. They can't keep getting away with this type of stuff. I never write reviews for anything, but I had to this time.",Negative,-0.9952
