aspect,matched_keyword,sentiment_label,vader_compound,review
Gameplay,pace,Negative,-0.9961,"I've been an avid fan of fifa games ever since I was a kid. I've been playing ever since fifa 14. To this day, I still think that 14 was the best I've ever played. Somehow it seems like fifa games have been getting worse over the years. Normally, as a company, you aim to make a sequel of a game to be better than the last one. But for EA, it's most definitely the opposite. For some reason, it seems like the developers at EA have gotten more retarded over the years. How is it possible to make a game this demoralising. Ranging from the poor ranking system, to the immense amounts of lag and glitches, even to (I can't believe I'm saying this) ""scripting"". HOW TF IS IT EVEN POSSIBLE TO ADD SCRIPTING TO A SPORTS GAME?!?! To then call it ""momentum""?!?! No, it's pure bullshit. Doesn't mean that the difficulty is on Legendary that a Bronze player gets an insane stat boost and is immediately better than a TOTY. Don't tell me a 63 OVR defender with 60 pace, outruns my 93 bale with 92 pace, just because of ""momentum"". That's how you make your game better???? To be honest, that's how you lose your player base. Because of little brain rotting little things like that. Also, don't even get me started on the packing system. How am I gonna open multiple packs and get absolute dogshit. But then, my friend that sucks and never touched a fifa game in his whole existence, packs a TOTY on his first pack. I wanna also add that the online mode is fucking garbage. I would rather inhale insane amounts of nuclear radiation and eat toxic waste for the rest of my life than play in an online match with input lag and ACTUAL LAG. To be clear, on every other game, I average 11 ping but for some extraordinary reason, EA decides to slap me with on average 84 ping every fucking match. This whole game is unplayable, unreasonable, unmanageable and especially TRASH. Yet, I come back to it after every time I said I would never touch a game this bad, because of nostalgia and because I wanna relive my childhood of me playing fifa games. If the next game is this bad, I will never touch another EA game, because it will give me a hint that the game will already be completely atrocious. To conclude, I wouldn't recommend this to no-one, even my dead grandfather. SO, EA FIX UR SHIT OR YOU'RE GONNA LOSE A LOT OF PLAYERS. YOU'RE GONNA BE STUCK WITH DUMBASS NPC PLAYERS THAT NEVER TOUCHED FIFA IN THEIR LIFE AND WILL REVIEW THE GAME ON THE GRAPHICS SOLELY AND THEN YOUR RETARDED ASS DEVELOPERS WILL LOOK AT THOSE REVIEWS AND THINK THEY DID A GOOD JOB ON THE GAME. Please fix your shit and, this is coming from an og, look at the reviews that give actually give a constuctive critism on how to make your game better for your player base."
Gameplay,player,Negative,-0.996,"I sincerely hope every person who developped this game starts shitting themselves uncontrollably until the end of their days, because it is impossible to be a good person and develop such a game. It is evil, it gets worse and worse with every update, the players are all acting as if brain damaged, the servers are on life support, and the devs are on crack cocaine. They always say everything is fine and good, but truth is it isn't, it is even worse than last year. I don't know what the fuck is going on at EA but i sincerely hope the diarrhea purge helps cleanse this shit we call a gaming company. They make 1 billion dollars net per year with ultimate team, I guess drugs and whores are really expensive because how the fuck could they not make a proper game with such money, when all they do is copy and paste the same shit over and over again. I really really REALLY hope, they ALL shit themselves at least a hundred times every day until they die because it is exactly how us FIFA players feel like every time we boot this piece of shit. We feel like we've been shat on, that someone shat on our brains and proceeded to shag them. Please, EA devs get a life or tell us if you need help in being liberated from those evil crackheads that are your CEOs and project leaders. (Oh and EA's customer service is filled with the most hypocritical people you'll ever meet, I understand it is their job, but the Gawk Gawk 3000 they to do EA's money rod is insane, whilst they probably get minimal wage for being really shit people.) Fuck you EA, I hope you get cucked by demons and they ass fuck you to hell right after that."
Gameplay,match,Positive,-0.9651,"I don't play Sport games, but i had to try if the guy who complained about the game not starting was true.
And it was a fucking lie. Just like all of these Negative steam reviews, don't trust any of those who complain about technical issues because their PC's got their OS messed up or forgot to update drivers idk.

Game ran flawlessly for me with maxed out settings at 1080p with my 3060 (Note that there may be some shader compilation stutter happening for one match and thats it.)"
Gameplay,gameplay,Positive,-0.9631,"yes but on ultimate deafending is very bad . i dont know bucause of ping or bad gameplay. i am plying fifa from fifa 18 ..... fifa 23 online .deafending is not good for pro players bur for nob players is very good
and on pc game is sllow with good fps"
Graphics,graphics,Negative,-0.9961,"I've been an avid fan of fifa games ever since I was a kid. I've been playing ever since fifa 14. To this day, I still think that 14 was the best I've ever played. Somehow it seems like fifa games have been getting worse over the years. Normally, as a company, you aim to make a sequel of a game to be better than the last one. But for EA, it's most definitely the opposite. For some reason, it seems like the developers at EA have gotten more retarded over the years. How is it possible to make a game this demoralising. Ranging from the poor ranking system, to the immense amounts of lag and glitches, even to (I can't believe I'm saying this) ""scripting"". HOW TF IS IT EVEN POSSIBLE TO ADD SCRIPTING TO A SPORTS GAME?!?! To then call it ""momentum""?!?! No, it's pure bullshit. Doesn't mean that the difficulty is on Legendary that a Bronze player gets an insane stat boost and is immediately better than a TOTY. Don't tell me a 63 OVR defender with 60 pace, outruns my 93 bale with 92 pace, just because of ""momentum"". That's how you make your game better???? To be honest, that's how you lose your player base. Because of little brain rotting little things like that. Also, don't even get me started on the packing system. How am I gonna open multiple packs and get absolute dogshit. But then, my friend that sucks and never touched a fifa game in his whole existence, packs a TOTY on his first pack. I wanna also add that the online mode is fucking garbage. I would rather inhale insane amounts of nuclear radiation and eat toxic waste for the rest of my life than play in an online match with input lag and ACTUAL LAG. To be clear, on every other game, I average 11 ping but for some extraordinary reason, EA decides to slap me with on average 84 ping every fucking match. This whole game is unplayable, unreasonable, unmanageable and especially TRASH. Yet, I come back to it after every time I said I would never touch a game this bad, because of nostalgia and because I wanna relive my childhood of me playing fifa games. If the next game is this bad, I will never touch another EA game, because it will give me a hint that the game will already be completely atrocious. To conclude, I wouldn't recommend this to no-one, even my dead grandfather. SO, EA FIX UR SHIT OR YOU'RE GONNA LOSE A LOT OF PLAYERS. YOU'RE GONNA BE STUCK WITH DUMBASS NPC PLAYERS THAT NEVER TOUCHED FIFA IN THEIR LIFE AND WILL REVIEW THE GAME ON THE GRAPHICS SOLELY AND THEN YOUR RETARDED ASS DEVELOPERS WILL LOOK AT THOSE REVIEWS AND THINK THEY DID A GOOD JOB ON THE GAME. Please fix your shit and, this is coming from an og, look at the reviews that give actually give a constuctive critism on how to make your game better for your player base."
Graphics,graphics,Negative,-0.9947,"HOW HAVE EA MADE SUCH  DOGS DINNER OF THIS GAME
My socks should be able to run this shit

***Post update two***
Still absolutely shocking, game still runs terribly on lowest graphics and reolution. Somehow they've done some black magic and I suffer from ping like lag in single player career mode. Career mode is laggy, ultimate team is laggy, this game isn't worth shit

***Post update ONE***
Game still runs like shit and has loads of input lag, fps lag and crash issues. Update did fuck all....

***Pre update ONE***
Runs terribly on any graphical setting. I have a decent setup and can't run this game on low graphics and low resolution. I can only play singleplayer game modes like career and squad battles on ultimate team. If i play ultimate team online my controller just doesn't work.

Game never starts on first try of launching from steam, having to open origin and ""ea anticheat"" makes the game shit itself and crash without launching. When you do eventually launch the game it starts off with a delayed response main menu, then when you get into a game you're constantly facing issues with fps lag, input delay and all out freezes or crashes.

Do not buy this game until it's fixed. It is pain."
Graphics,graphics,Positive,-0.9726,"Spent 70 Euros for this game to not start. ""Oh, yeah but just restart your computer."" Oh, do this and to that. 
Here are things i've done for this peice of shit to still not work:
-Restarted my computer 3 times
-Restarted steam and origin more times than i've witnessed bad female drivers
-Verified game files
-Changed power options on my pc
-Checked my pc for updates
-Updated my graphics card drivers
-Probably watched/read more ""How to fix Fifa 23 not launching"" videos/articles than any other living species on this planets history
-Also wasted my evening trying to start this non-startable game

Im not able to run the game as an administrator because I accidentally permanently deleted a file which now makes me unable to start the game from its desktop shortcut. If this is what I need to do I'll literally kill myself.

Good Game 10/10"
Graphics,graphics,Positive,-0.9496,"The gaming experience is very bad, I have an NVIDIA 1050 Ti  graphics card, an intel 9900 k processor, 32 ram, and Windows 11 64 bits, but the gaming experience is bad, there is a problem with the graphics, stuttering in the game, and a large frame drop."
Performance/Bugs,lag,Negative,-0.9961,"I've been an avid fan of fifa games ever since I was a kid. I've been playing ever since fifa 14. To this day, I still think that 14 was the best I've ever played. Somehow it seems like fifa games have been getting worse over the years. Normally, as a company, you aim to make a sequel of a game to be better than the last one. But for EA, it's most definitely the opposite. For some reason, it seems like the developers at EA have gotten more retarded over the years. How is it possible to make a game this demoralising. Ranging from the poor ranking system, to the immense amounts of lag and glitches, even to (I can't believe I'm saying this) ""scripting"". HOW TF IS IT EVEN POSSIBLE TO ADD SCRIPTING TO A SPORTS GAME?!?! To then call it ""momentum""?!?! No, it's pure bullshit. Doesn't mean that the difficulty is on Legendary that a Bronze player gets an insane stat boost and is immediately better than a TOTY. Don't tell me a 63 OVR defender with 60 pace, outruns my 93 bale with 92 pace, just because of ""momentum"". That's how you make your game better???? To be honest, that's how you lose your player base. Because of little brain rotting little things like that. Also, don't even get me started on the packing system. How am I gonna open multiple packs and get absolute dogshit. But then, my friend that sucks and never touched a fifa game in his whole existence, packs a TOTY on his first pack. I wanna also add that the online mode is fucking garbage. I would rather inhale insane amounts of nuclear radiation and eat toxic waste for the rest of my life than play in an online match with input lag and ACTUAL LAG. To be clear, on every other game, I average 11 ping but for some extraordinary reason, EA decides to slap me with on average 84 ping every fucking match. This whole game is unplayable, unreasonable, unmanageable and especially TRASH. Yet, I come back to it after every time I said I would never touch a game this bad, because of nostalgia and because I wanna relive my childhood of me playing fifa games. If the next game is this bad, I will never touch another EA game, because it will give me a hint that the game will already be completely atrocious. To conclude, I wouldn't recommend this to no-one, even my dead grandfather. SO, EA FIX UR SHIT OR YOU'RE GONNA LOSE A LOT OF PLAYERS. YOU'RE GONNA BE STUCK WITH DUMBASS NPC PLAYERS THAT NEVER TOUCHED FIFA IN THEIR LIFE AND WILL REVIEW THE GAME ON THE GRAPHICS SOLELY AND THEN YOUR RETARDED ASS DEVELOPERS WILL LOOK AT THOSE REVIEWS AND THINK THEY DID A GOOD JOB ON THE GAME. Please fix your shit and, this is coming from an og, look at the reviews that give actually give a constuctive critism on how to make your game better for your player base."
Performance/Bugs,error,Negative,-0.9961,"I thought when buying this game I'd disreguard any of the negative reviews as we all know what its like with FIFA every year we still buy it expecting something to have changed but it always leaves us with one guarantee we're going to be infuriated by it.

But... I mean this from the bottom of my heart, this has left me with nothing but the feeling of neglect from the game devs.

They know of the active issues and we're what 2 months into release with no fix.

THE GAME WONT WORK I've tried every fix and its the same bullshit, Error error error, nothing to do with my PC requirements it's all down on their end and there stupid ANTICHEAT.

If you have 60 GBP or whatever it costs in your currency to just freely throw into a dumpster and burn then go ahead buy it.

Just honestly dont bother I'm saving you the heartbreak and pain you will feel from this shit.

Fuck EA, Fuck you and your shitty customer service you're all a bunch of fucking cunts."
