review,true_derived_label,predicted_label,model_name,confidence,notes
ea anti cheat trash paid shit able play play even official release great job ea,Positive,Negative,Multiclass Logistic Regression,0.5830647850385967,"Positive weak label predicted as Negative; review may be short, mixed, or lexicon-ambiguous."
dont want admit much ive spent,Negative,Positive,Multiclass Logistic Regression,0.43611254596700066,"Negative weak label predicted as Positive; review may be short, mixed, or lexicon-ambiguous."
no polish comment game fired polish display english language brazilian flag displayed next changing launch property spanish english french game downloads folder normal comment mentioned language edit updated game added polish commentary language,Negative,Neutral,Multiclass Logistic Regression,0.5344581888638975,"Negative weak label predicted as Neutral; review may be short, mixed, or lexicon-ambiguous."
useless game doesnt even launch,Negative,Neutral,Multiclass Logistic Regression,0.4886068723845699,"Negative weak label predicted as Neutral; review may be short, mixed, or lexicon-ambiguous."
game semi decent quite slow liking tho,Positive,Neutral,Multiclass Logistic Regression,0.48215981593752616,"Positive weak label predicted as Neutral; review may be short, mixed, or lexicon-ambiguous."
really like career mode thing ultimate team bad constantly come tryhards cant play fine guess,Negative,Positive,Multiclass Logistic Regression,0.7228609358285952,"Negative weak label predicted as Positive; review may be short, mixed, or lexicon-ambiguous."
not best game okay,Negative,Positive,Multiclass Logistic Regression,0.8474390978428712,"Negative weak label predicted as Positive; review may be short, mixed, or lexicon-ambiguous."
dont sucre boot enable dont bother,Positive,Neutral,Multiclass Logistic Regression,0.48438581842759815,"Positive weak label predicted as Neutral; review may be short, mixed, or lexicon-ambiguous."
game released incompletely using window recommend never buy time fix error time play game,Positive,Negative,Multiclass Logistic Regression,0.7466693330595595,"Positive weak label predicted as Negative; review may be short, mixed, or lexicon-ambiguous."
no e basura,Neutral,Negative,Multiclass Logistic Regression,0.7266347963134303,"Neutral weak label predicted as Negative; review may be short, mixed, or lexicon-ambiguous."
hard recommend game every time try load seems new problem first anti cheat stuff would stop game launching eventually fixed forced update origin ea app not seem work would recommend like troubleshooting playing game,Positive,Negative,Multiclass Logistic Regression,0.6759326250484876,"Positive weak label predicted as Negative; review may be short, mixed, or lexicon-ambiguous."
wont launch not recommended,Positive,Neutral,Multiclass Logistic Regression,0.4110541703395767,"Positive weak label predicted as Neutral; review may be short, mixed, or lexicon-ambiguous."
even pass goal whenever someone shoot ofc goal dafffffffuq,Negative,Neutral,Multiclass Logistic Regression,0.4018356920186175,"Negative weak label predicted as Neutral; review may be short, mixed, or lexicon-ambiguous."
cant running,Negative,Neutral,Multiclass Logistic Regression,0.6499685095763007,"Negative weak label predicted as Neutral; review may be short, mixed, or lexicon-ambiguous."
ranking system dont work div got people icon card century expirience,Neutral,Negative,Multiclass Logistic Regression,0.42338249188312665,"Neutral weak label predicted as Negative; review may be short, mixed, or lexicon-ambiguous."
pc,Neutral,Negative,Multiclass Logistic Regression,0.4140284950315669,"Neutral weak label predicted as Negative; review may be short, mixed, or lexicon-ambiguous."
facial image player must completed light no problem yet certainly better,Positive,Negative,Multiclass Logistic Regression,0.5125751918119036,"Positive weak label predicted as Negative; review may be short, mixed, or lexicon-ambiguous."
cant win single game,Negative,Neutral,Multiclass Logistic Regression,0.6310888714417147,"Negative weak label predicted as Neutral; review may be short, mixed, or lexicon-ambiguous."
okay many issue game,Positive,Neutral,Multiclass Logistic Regression,0.48858149662871536,"Positive weak label predicted as Neutral; review may be short, mixed, or lexicon-ambiguous."
lost game offside half game every year yet cant figure rule sport,Negative,Neutral,Multiclass Logistic Regression,0.41861670721119004,"Negative weak label predicted as Neutral; review may be short, mixed, or lexicon-ambiguous."
ea last game still copy pasted,Neutral,Negative,Multiclass Logistic Regression,0.35996957338320945,"Neutral weak label predicted as Negative; review may be short, mixed, or lexicon-ambiguous."
please fix game still not open pathetic would even drop game calibar without even checking run pc,Positive,Negative,Multiclass Logistic Regression,0.7295617236853198,"Positive weak label predicted as Negative; review may be short, mixed, or lexicon-ambiguous."
didnt dislike anything,Positive,Neutral,Multiclass Logistic Regression,0.606593347373474,"Positive weak label predicted as Neutral; review may be short, mixed, or lexicon-ambiguous."
tbol lento preciso post update el juego e una poronga correr francesco virgoliniii fiiiu pase al medio gol bug de sacar rapido un tiro libre sin arreglar menu siguen lentos como una tortuga,Negative,Neutral,Multiclass Logistic Regression,0.4930056786692542,"Negative weak label predicted as Neutral; review may be short, mixed, or lexicon-ambiguous."
gameplay good got ck pack pre order ultimate edition bit scam,Negative,Positive,Multiclass Logistic Regression,0.6994177380186051,"Negative weak label predicted as Positive; review may be short, mixed, or lexicon-ambiguous."
seems like common trend currently company releasing game not fully ready,Neutral,Positive,Multiclass Logistic Regression,0.3767242075257867,"Neutral weak label predicted as Positive; review may be short, mixed, or lexicon-ambiguous."
gg kontol game,Positive,Neutral,Multiclass Logistic Regression,0.580417009776396,"Positive weak label predicted as Neutral; review may be short, mixed, or lexicon-ambiguous."
spec demanding run smoothly fps dosent even run pc,Negative,Neutral,Multiclass Logistic Regression,0.5459479023345395,"Negative weak label predicted as Neutral; review may be short, mixed, or lexicon-ambiguous."
yaa aja sih okay,Positive,Neutral,Multiclass Logistic Regression,0.4472831826146046,"Positive weak label predicted as Neutral; review may be short, mixed, or lexicon-ambiguous."
buy save brain happiness,Positive,Neutral,Multiclass Logistic Regression,0.36759908287080484,"Positive weak label predicted as Neutral; review may be short, mixed, or lexicon-ambiguous."
